date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:51	93009/93009	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2008:47:54%20GMT	https://www.t2c-register.com/Home/index	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Home/index.html	(from )
16:47:52	681/681	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202024%2008:47:55%20GMT	https://www.t2c-register.com/robots.txt		(from )
16:47:52	5756/5756	---MCZ	200	added ('OK')	text/css	etag:W/%22d3ec909d78beda1:0%22	https://www.t2c-register.com/Resources/style.min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/style.min.css	(from https://www.t2c-register.com/Home/index)
16:47:52	5108/5108	---MCZ	200	added ('OK')	text/css	etag:W/%22b267b29d78beda1:0%22	https://www.t2c-register.com/Resources/theme.min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/theme.min.css	(from https://www.t2c-register.com/Home/index)
16:47:52	7325/7325	---MCZ	200	added ('OK')	text/css	etag:W/%22ddc6e49d78beda1:0%22	https://www.t2c-register.com/Resources/header-footer.min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/header-footer.min.css	(from https://www.t2c-register.com/Home/index)
16:47:52	118945/118945	---MCZ	200	added ('OK')	text/css	etag:W/%22742be9e78beda1:0%22	https://www.t2c-register.com/Resources/frontend-lite.min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/frontend-lite.min.css	(from https://www.t2c-register.com/Home/index)
16:47:53	1263/1263	---MCZ	200	added ('OK')	text/css	etag:W/%22b8ee319e78beda1:0%22	https://www.t2c-register.com/Resources/post-8.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/post-8.css	(from https://www.t2c-register.com/Home/index)
16:47:53	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22869b4f9e78beda1:0%22	https://www.t2c-register.com/Resources/swiper.min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/swiper.min.css	(from https://www.t2c-register.com/Home/index)
16:47:53	11053/11053	---MCZ	200	added ('OK')	text/css	etag:W/%22e31b6f9e78beda1:0%22	https://www.t2c-register.com/Resources/frontend-lite(1).min.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/frontend-lite(1).min.css	(from https://www.t2c-register.com/Home/index)
16:47:53	40207/40207	---MCZ	200	added ('OK')	text/css	etag:W/%226908e9e78beda1:0%22	https://www.t2c-register.com/Resources/global.css	C:/Users/User/OneDrive/Pictures/DC88/BOOK/DC88/www.t2c-register.com/Resources/global.css	(from https://www.t2c-register.com/Home/index)
